hidden_layers,activation,epochs,dropout,val_acc,test_acc,final_train_loss,final_val_loss
[32],relu,100,0.0,0.9185185185185185,0.8740740740740741,0.37856154952730453,0.29684896910632097
[32],relu,100,0.2,0.8518518518518519,0.837037037037037,0.4782273933054909,0.3552064694740154
[32],relu,200,0.0,0.9481481481481482,0.9703703703703703,0.24890950487719643,0.1798707310800199
[32],relu,200,0.2,0.9259259259259259,0.9259259259259259,0.38769869123186385,0.26314600551569906
[32],tanh,100,0.0,0.7185185185185186,0.6592592592592592,0.5755827039007156,0.47018294400639005
[32],tanh,100,0.2,0.7185185185185186,0.6592592592592592,0.5967619922426012,0.4797971659236484
[32],tanh,200,0.0,0.8074074074074075,0.8,0.445578023933229,0.35965387026468915
[32],tanh,200,0.2,0.7555555555555555,0.7185185185185186,0.5394428351568797,0.41332885909963535
[64],relu,100,0.0,0.9481481481481482,0.9703703703703703,0.2722914997547392,0.2058650043275621
[64],relu,100,0.2,0.9629629629629629,0.9777777777777777,0.3186283903462546,0.22283711080197935
[64],relu,200,0.0,0.9925925925925926,0.9925925925925926,0.147026094297568,0.11429291367530822
[64],relu,200,0.2,0.9925925925925926,0.9925925925925926,0.23133301186183142,0.13956775334146287
[64],tanh,100,0.0,0.7185185185185186,0.6666666666666666,0.5663661894344149,0.45889574973671526
[64],tanh,100,0.2,0.7185185185185186,0.6814814814814815,0.5702567159183441,0.4567986857008051
[64],tanh,200,0.0,0.9407407407407408,0.9185185185185185,0.33306438572823055,0.2621562092392533
[64],tanh,200,0.2,0.8148148148148148,0.8148148148148148,0.4591676710143922,0.34009157330901535
"[64, 32]",relu,100,0.0,1.0,0.9925925925925926,0.051974664250063515,0.048864020848715745
"[64, 32]",relu,100,0.2,0.9925925925925926,1.0,0.11440737252197568,0.060840360158019594
"[64, 32]",relu,200,0.0,1.0,1.0,0.02630191756382821,0.0300181954547211
"[64, 32]",relu,200,0.2,1.0,1.0,0.05834265997012456,0.03682722830110126
"[64, 32]",tanh,100,0.0,0.9851851851851852,0.9925925925925926,0.11404842043679858,0.09160123964150747
"[64, 32]",tanh,100,0.2,0.9777777777777777,0.9925925925925926,0.25229016731655785,0.12791680252110516
"[64, 32]",tanh,200,0.0,1.0,0.9925925925925926,0.03492026550783998,0.03438207634069301
"[64, 32]",tanh,200,0.2,1.0,0.9925925925925926,0.1304429961457139,0.04027622949194025
"[128, 64]",relu,100,0.0,0.9925925925925926,0.9925925925925926,0.03441929267275901,0.03715844292331625
"[128, 64]",relu,100,0.2,1.0,0.9925925925925926,0.07323740235869847,0.048832341476723
"[128, 64]",relu,200,0.0,1.0,0.9925925925925926,0.01800395470733444,0.021911005593008466
"[128, 64]",relu,200,0.2,1.0,0.9925925925925926,0.03576471910531086,0.030730467317280945
"[128, 64]",tanh,100,0.0,1.0,0.9925925925925926,0.05116080588528088,0.04745064322595243
"[128, 64]",tanh,100,0.2,0.9925925925925926,0.9925925925925926,0.10004091821019612,0.04489110266720807
"[128, 64]",tanh,200,0.0,1.0,0.9925925925925926,0.021879674216348028,0.02334908150412418
"[128, 64]",tanh,200,0.2,1.0,0.9925925925925926,0.059466610328545645,0.021259338243140115
"[128, 64, 32]",relu,100,0.0,1.0,0.9925925925925926,0.019715710557878963,0.022383853489602052
"[128, 64, 32]",relu,100,0.2,1.0,0.9925925925925926,0.04945232711495861,0.0287956311194985
"[128, 64, 32]",relu,200,0.0,1.0,1.0,0.012888482138274296,0.00842835583758575
"[128, 64, 32]",relu,200,0.2,1.0,1.0,0.03774291803202932,0.012263672812669366
"[128, 64, 32]",tanh,100,0.0,1.0,0.9925925925925926,0.024610447818561206,0.018539873041488505
"[128, 64, 32]",tanh,100,0.2,1.0,1.0,0.07782720880849021,0.021873974427580833
"[128, 64, 32]",tanh,200,0.0,1.0,0.9925925925925926,0.012370207784549584,0.009925934699950395
"[128, 64, 32]",tanh,200,0.2,1.0,0.9925925925925926,0.029698092567305715,0.012702429943062641
